claim_text,atomic_claim,speaker,role,party,source_name,source_url,publication_date,fetched_at,claim_type,verifiability_status,fact_checkability_score,evidence_target,numeric_flag,legal_flag,comparison_flag,timeframe_present,needs_human_review,rejection_reason,status
"Abela cited a record €9.3 billion national budget","Malta's national budget for 2026 is €9.3 billion",Robert Abela,Prime Minister,PL,Newsbook,https://newsbook.com.mt/en/robert-abela-i-decide-the-election-date/,2026-04-06,2026-04-16 12:00 UTC,statistical,checkable,5,Budget 2026 document,TRUE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"Abela claimed Malta's growth outpaced Germany's tenfold last year","Malta's economic growth rate in 2025 was ten times that of Germany",Robert Abela,Prime Minister,PL,Newsbook,https://newsbook.com.mt/en/robert-abela-i-decide-the-election-date/,2026-04-06,2026-04-16 12:00 UTC,comparative,checkable,5,Eurostat GDP growth data,FALSE,FALSE,TRUE,TRUE,FALSE,,approved_for_check
"Abela said Malta received an IMF A-plus economic rating","Malta received an IMF A-plus economic rating",Robert Abela,Prime Minister,PL,Newsbook,https://newsbook.com.mt/en/robert-abela-i-decide-the-election-date/,2026-04-06,2026-04-16 12:00 UTC,statistical,checkable,5,IMF country report,FALSE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"Abela announced a legal notice removing income tax on additional pension income above the maximum pension threshold","A legal notice has been issued removing income tax on additional pension income above the maximum pension threshold",Robert Abela,Prime Minister,PL,Newsbook,https://newsbook.com.mt/en/robert-abela-i-decide-the-election-date/,2026-04-06,2026-04-16 12:00 UTC,legal,checkable,5,Malta Government Gazette,FALSE,TRUE,FALSE,FALSE,FALSE,,approved_for_check
"A bill tabled in parliament would allow the government to appoint the Chief Justice unilaterally if two-thirds parliamentary consensus is not reached","A bill tabled in parliament would allow the government to appoint the Chief Justice unilaterally if two-thirds consensus is not reached",Robert Abela,Prime Minister,PL,Newsbook,https://newsbook.com.mt/en/robert-abela-i-decide-the-election-date/,2026-04-06,2026-04-16 12:00 UTC,legal,checkable,5,Parliamentary bill text,FALSE,TRUE,FALSE,FALSE,FALSE,,approved_for_check
"Labour Party statute requires a congress before a general election","The Labour Party statute requires a congress to be held before a general election to outline manifesto guidelines",Alex Agius Saliba,Labour Deputy Leader,PL,Lovin Malta,https://lovinmalta.com/news/local/labour-announces-six-day-congress-to-outline-election-manifesto/,2026-04-09,2026-04-16 12:00 UTC,legal,checkable,5,Labour Party statute,FALSE,TRUE,FALSE,FALSE,FALSE,,approved_for_check
"Gozo's economy now exceeds €1 billion","Gozo's economy now exceeds €1 billion",Robert Abela,Prime Minister,PL,Live News Malta,http://livenewsmalta.com/index.php/2026/04/13/pm-robert-abela-opens-labour-congress-2026-in-gozo/,2026-04-12,2026-04-16 12:00 UTC,statistical,checkable,5,NSO regional economic statistics,TRUE,FALSE,FALSE,FALSE,FALSE,,approved_for_check
"Gozo's economy is triple what it was in 2013","Gozo's economy in 2026 is triple what it was in 2013",Robert Abela,Prime Minister,PL,Live News Malta,http://livenewsmalta.com/index.php/2026/04/13/pm-robert-abela-opens-labour-congress-2026-in-gozo/,2026-04-12,2026-04-16 12:00 UTC,comparative,checkable,5,NSO regional economic statistics,FALSE,FALSE,TRUE,TRUE,FALSE,,approved_for_check
"Abela said without government fuel subsidies fuel would be up to 45% more expensive","Without government fuel subsidies fuel prices in Malta would be up to 45% higher",Robert Abela,Prime Minister,PL,The Malta Independent,https://www.independent.com.mt/articles/2026-04-12/local-news/The-four-factors-which-may-be-pushing-Robert-Abela-into-calling-an-early-election-6736288690,2026-04-12,2026-04-16 12:00 UTC,statistical,checkable,4,Government subsidy data / energy regulator,TRUE,FALSE,TRUE,FALSE,FALSE,,approved_for_check
"The environment ministry received €275 million in Budget 2026 — the highest of any ministry","The environment ministry received €275 million in Budget 2026 — the highest allocation of any ministry",Robert Abela,Prime Minister,PL,MaltaToday,https://www.maltatoday.com.mt/news/budget-2026/138285/abela_wants_malta_to_become_most_aifriendly_country_in_europe_,2025-11-19,2026-04-16 12:00 UTC,statistical,checkable,5,Budget 2026 document,TRUE,FALSE,TRUE,TRUE,FALSE,,approved_for_check
"The 2012 PN Budget allocated €3.1 billion compared to the 2026 Labour Budget of €9.3 billion","The 2012 Budget under a PN government allocated €3.1 billion in spending",Robert Abela,Prime Minister,PL,MaltaToday,https://www.maltatoday.com.mt/news/budget-2026/138285/,2025-11-19,2026-04-16 12:00 UTC,comparative,checkable,5,2012 Budget document,TRUE,FALSE,TRUE,TRUE,FALSE,,approved_for_check
"COLA for 2026 will be €4.66 per week","The Cost of Living Adjustment for 2026 is €4.66 per week",Clyde Caruana,Minister for Finance and Employment,PL,The Malta Independent,https://www.independent.com.mt/articles/2025-10-27/local-news/COLA-for-the-coming-year-will-be-4-66-per-week-6736284312,2025-10-27,2026-04-16 12:00 UTC,statistical,checkable,5,Budget 2026 document / government gazette,TRUE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"Malta's economy is projected to grow by 4.1% in real terms in 2025 and maintain the same pace in 2026","Malta's economy is projected to grow by 4.1% in real terms in 2025 and at the same rate in 2026",Clyde Caruana,Minister for Finance and Employment,PL,The Malta Independent,https://www.independent.com.mt/articles/2025-10-27/local-news/COLA-for-the-coming-year-will-be-4-66-per-week-6736284312,2025-10-27,2026-04-16 12:00 UTC,statistical,checkable,5,NSO / Eurostat GDP projections,TRUE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"Budget 2026 introduced a €160 million tax cut for parents spread over three years","Budget 2026 introduced a €160 million tax cut for parents spread over three years",Clyde Caruana,Minister for Finance and Employment,PL,MaltaToday,https://www.maltatoday.com.mt/news/budget-2026/137835/budget_2026_shorts,2025-10-28,2026-04-16 12:00 UTC,statistical,checkable,5,Budget 2026 document,TRUE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"Government is increasing social investment by more than €120 million in Budget 2026","Government is increasing social investment by more than €120 million in Budget 2026",Clyde Caruana,Minister for Finance and Employment,PL,The Malta Independent,https://www.independent.com.mt/articles/2025-10-27/local-news/Budget-2026-Government-increases-social-investment-by-120-million-6736284314,2025-10-27,2026-04-16 12:00 UTC,statistical,checkable,5,Budget 2026 document,TRUE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"Around 100000 retirees invalidity pensioners and widows will receive a €10 per week pension increase","Around 100,000 retirees, invalidity pensioners and widows will receive a €10 per week pension increase in 2026",Clyde Caruana,Minister for Finance and Employment,PL,The Malta Independent,https://www.independent.com.mt/articles/2025-10-27/local-news/Budget-2026-Government-increases-social-investment-by-120-million-6736284314,2025-10-27,2026-04-16 12:00 UTC,statistical,checkable,5,Budget 2026 document / social security records,TRUE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"Malta's debt-to-GDP ratio is expected to sit at 47.1% by end of 2025","Malta's debt-to-GDP ratio is projected to reach 47.1% by end of 2025",Clyde Caruana,Minister for Finance and Employment,PL,The Malta Independent,https://www.independent.com.mt/articles/2025-10-27/local-news/AS-IT-HAPPENED-Clyde-Caruana-delivers-Budget-2026-in-Parliament-6736284311,2025-10-27,2026-04-16 12:00 UTC,statistical,checkable,5,Eurostat / NSO fiscal data,TRUE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"Malta's deficit is projected to fall to 2.8% by end of 2026 below the EU 3% threshold","Malta's deficit is projected to fall to 2.8% by end of 2026 going below the EU's 3% threshold",Clyde Caruana,Minister for Finance and Employment,PL,The Malta Independent,https://www.independent.com.mt/articles/2025-10-27/local-news/AS-IT-HAPPENED-Clyde-Caruana-delivers-Budget-2026-in-Parliament-6736284311,2025-10-27,2026-04-16 12:00 UTC,statistical,checkable,5,Eurostat fiscal data / EU Excessive Deficit Procedure,TRUE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"Malta's deficit shrank from 4.6% in 2023 to 3.6% in 2024","Malta's budget deficit fell from 4.6% of GDP in 2023 to 3.6% in 2024",Clyde Caruana,Minister for Finance and Employment,PL,The Malta Independent,https://www.independent.com.mt/articles/2025-09-12/local-news/Malta-s-economy-outpaces-EU-Finance-Minister-says-as-pre-Budget-2026-consultation-launched-6736273062,2025-09-12,2026-04-16 12:00 UTC,statistical,checkable,5,Eurostat fiscal data,TRUE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"Malta will achieve its deficit target two years earlier than required under the EU Excessive Deficit Procedure","Malta will bring its deficit below 3% in just two years instead of the four years allowed by the EU under the Excessive Deficit Procedure",Clyde Caruana,Minister for Finance and Employment,PL,The Malta Independent,https://www.independent.com.mt/articles/2025-09-12/local-news/Malta-s-economy-outpaces-EU-Finance-Minister-says-as-pre-Budget-2026-consultation-launched-6736273062,2025-09-12,2026-04-16 12:00 UTC,comparative,checkable,5,EU Excessive Deficit Procedure documents,FALSE,FALSE,TRUE,TRUE,FALSE,,approved_for_check
"Malta spends around €200 million annually on energy subsidies","Malta spends approximately €200 million per year on energy subsidies",Clyde Caruana,Minister for Finance and Employment,PL,The Malta Independent,https://www.independent.com.mt/articles/2025-09-12/local-news/Malta-s-economy-outpaces-EU-Finance-Minister-says-as-pre-Budget-2026-consultation-launched-6736273062,2025-09-12,2026-04-16 12:00 UTC,statistical,checkable,5,Government financial statements / budget documents,TRUE,FALSE,FALSE,FALSE,FALSE,,approved_for_check
"In 2002 Malta spent almost 8% of GDP on food and energy but by 2025 this fell to 0.8%","Malta's spending on food and energy fell from almost 8% of GDP in 2002 to 0.8% in 2025",Clyde Caruana,Minister for Finance and Employment,PL,The Malta Independent,https://www.independent.com.mt/articles/2025-09-12/local-news/Malta-s-economy-outpaces-EU-Finance-Minister-says-as-pre-Budget-2026-consultation-launched-6736273062,2025-09-12,2026-04-16 12:00 UTC,comparative,checkable,5,NSO statistics / budget documents,TRUE,FALSE,TRUE,TRUE,FALSE,,approved_for_check
"Malta has the lowest number of people on social benefits and the highest employment in the EU","Malta has the lowest number of people on social benefits and the highest employment rate in the EU",Clyde Caruana,Minister for Finance and Employment,PL,The Malta Independent,https://www.independent.com.mt/articles/2025-09-12/local-news/Malta-s-economy-outpaces-EU-Finance-Minister-says-as-pre-Budget-2026-consultation-launched-6736273062,2025-09-12,2026-04-16 12:00 UTC,comparative,checkable,5,Eurostat employment data,FALSE,FALSE,TRUE,FALSE,FALSE,,approved_for_check
"Government revenue rose by €1.2 billion or 20% in the past year","Government revenue rose by €1.2 billion — a 20% increase — in the past year",Clyde Caruana,Minister for Finance and Employment,PL,The Malta Independent,https://www.independent.com.mt/articles/2025-09-12/local-news/Malta-s-economy-outpaces-EU-Finance-Minister-says-as-pre-Budget-2026-consultation-launched-6736273062,2025-09-12,2026-04-16 12:00 UTC,statistical,checkable,5,NSO government finance statistics,TRUE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"Malta's inflation rate stood at 2.5% in 2024 and is projected to fall to 2% in 2026","Malta's inflation rate was 2.5% in 2024 and is projected to fall to 2% in 2026",Clyde Caruana,Minister for Finance and Employment,PL,The Malta Independent,https://www.independent.com.mt/articles/2025-09-12/local-news/Malta-s-economy-outpaces-EU-Finance-Minister-says-as-pre-Budget-2026-consultation-launched-6736273062,2025-09-12,2026-04-16 12:00 UTC,statistical,checkable,5,NSO / Eurostat inflation data,TRUE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"Malta has €250 million cushion amid Gulf conflict and excessive deficit procedure","Malta has a €250 million fiscal cushion available amid the Gulf conflict",Clyde Caruana,Minister for Finance and Employment,PL,The Malta Independent,https://www.independent.com.mt/articles/2026-03-11/local-news/Malta-has-250-million-cushion-amid-Gulf-conflict-excessive-deficit-procedure-Finance-Minister-6736287911,2026-03-11,2026-04-16 12:00 UTC,statistical,checkable,4,Government financial statements / treasury records,TRUE,FALSE,FALSE,FALSE,FALSE,,approved_for_check
"Natural gas now costs around $50 per MWh compared to around $350 per MWh in 2022","Natural gas now costs approximately $50/MWh compared to approximately $350/MWh at peak prices in 2022",Clyde Caruana,Minister for Finance and Employment,PL,The Malta Independent,https://www.independent.com.mt/articles/2026-03-11/local-news/Malta-has-250-million-cushion-amid-Gulf-conflict-excessive-deficit-procedure-Finance-Minister-6736287911,2026-03-11,2026-04-16 12:00 UTC,comparative,checkable,5,International energy market data,TRUE,FALSE,TRUE,TRUE,FALSE,,approved_for_check
"Diesel now costs around $2.80 per gallon having nearly tripled from $1 per gallon at start of 2026","Diesel costs approximately $2.80 per gallon in early 2026 having nearly tripled from approximately $1 per gallon at the start of the year",Clyde Caruana,Minister for Finance and Employment,PL,The Malta Independent,https://www.independent.com.mt/articles/2026-03-11/local-news/Malta-has-250-million-cushion-amid-Gulf-conflict-excessive-deficit-procedure-Finance-Minister-6736287911,2026-03-11,2026-04-16 12:00 UTC,comparative,checkable,5,International energy market data,TRUE,FALSE,TRUE,TRUE,FALSE,,approved_for_check
"The EU reduced its fossil fuel share in electricity generation from 40% to 30% since 2022","The EU reduced its proportion of fossil fuels in electricity generation from 40% to 30% since 2022",Clyde Caruana,Minister for Finance and Employment,PL,The Malta Independent,https://www.independent.com.mt/articles/2026-03-11/local-news/Malta-has-250-million-cushion-amid-Gulf-conflict-excessive-deficit-procedure-Finance-Minister-6736287911,2026-03-11,2026-04-16 12:00 UTC,comparative,checkable,4,Eurostat energy statistics,FALSE,FALSE,TRUE,TRUE,FALSE,,approved_for_check
"Budget 2026 allocated €420 million in total measures including a €160 million parent tax cut","Budget 2026 included €420 million in total measures including a €160 million tax cut for parents a €120 million increase in social measures €40 million in business incentives and €100 million in AI investment",Robert Abela,Prime Minister,PL,MaltaToday,https://www.maltatoday.com.mt/news/national/138478/abela_tells_socialist_international_maltas_model_proves_progressive_economics_work,2025-11-29,2026-04-16 12:00 UTC,statistical,checkable,5,Budget 2026 document,TRUE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"Student stipends will increase by 15% in 2026 costing €48 million","Post-secondary student stipends will increase by 15% in 2026 rising to €48 million",Clyde Caruana,Minister for Finance and Employment,PL,MaltaToday,https://www.maltatoday.com.mt/news/national/137947/budget_2026_titbits_of_income_and_expenditure,2025-11-06,2026-04-16 12:00 UTC,statistical,checkable,5,Budget 2026 estimates,TRUE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"Children's Allowance is expected to increase to €103 million in 2026 up from €89.7 million","Children's Allowance expenditure is projected to increase to €103 million in 2026 up from €89.7 million in 2025",Clyde Caruana,Minister for Finance and Employment,PL,MaltaToday,https://www.maltatoday.com.mt/news/national/137947/budget_2026_titbits_of_income_and_expenditure,2025-11-06,2026-04-16 12:00 UTC,statistical,checkable,5,Budget 2026 financial estimates,TRUE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"The second electricity interconnector will have 99km of cable manufactured and tested by Q1 2026 at a cost of €300 million","The second electricity interconnector will have 99km of cable manufactured and tested by the first quarter of 2026 at a cost of €300 million",Clyde Caruana,Minister for Finance and Employment,PL,The Malta Independent,https://www.independent.com.mt/articles/2025-10-27/local-news/Budget-2026-Government-pledges-more-energy-water-and-mobility-projects-6736284320,2025-10-27,2026-04-16 12:00 UTC,administrative,checkable,5,Government capital expenditure records / procurement,TRUE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"Gozitan students over 18 studying in Malta will receive a new monthly grant of €280","Gozitan students over 18 years of age studying in Malta will receive a new monthly grant of €280 to cover travel and accommodation costs",Clyde Caruana,Minister for Finance and Employment,PL,MaltaToday,https://www.maltatoday.com.mt/news/budget-2026/137835/budget_2026_shorts,2025-10-28,2026-04-16 12:00 UTC,policy,checkable,5,Budget 2026 document / government gazette,TRUE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"The PN has pledged to cut VAT to 7% for restaurants and kiosks within 100 days of taking office","A PN government would reduce VAT to 7% for restaurants and kiosks within its first 100 days in office",Alex Borg,Leader of the Opposition,PN,The Malta Independent,https://www.independent.com.mt/articles/2026-03-15/local-news/Alex-Borg-pledges-to-cut-VAT-to-7-for-restaurants-within-100-days-if-PN-wins-next-election-6736288020,2026-03-15,2026-04-16 12:00 UTC,policy,checkable,4,PN policy document,TRUE,FALSE,FALSE,FALSE,FALSE,,approved_for_check
"A PN government would open a €5000 Child Trust Fund for every child born to Maltese residents","A PN government would open a long-term savings fund of €5,000 for every child born to Maltese residents redeemable at age 20",Alex Borg,Leader of the Opposition,PN,MaltaToday,https://www.maltatoday.com.mt/news/budget-2026/137975/pn_government_will_gift_every_child_an_investment_policy_with_initial_capital_of_5000,2025-11-03,2026-04-16 12:00 UTC,policy,checkable,4,PN policy document,TRUE,FALSE,FALSE,FALSE,FALSE,,approved_for_check
"The Child Trust Fund would be managed by a National Child Trust Fund Authority","The proposed Child Trust Fund would be managed by a new National Child Trust Fund Authority supervised by the Finance Ministry",Alex Borg,Leader of the Opposition,PN,MaltaToday,https://www.maltatoday.com.mt/news/budget-2026/137975/pn_government_will_gift_every_child_an_investment_policy_with_initial_capital_of_5000,2025-11-03,2026-04-16 12:00 UTC,administrative,checkable,4,PN policy document,FALSE,FALSE,FALSE,FALSE,FALSE,,approved_for_check
"A PN government would add all oncological medicines to the government formulary","A PN government would add all oncological medicines to the government formulary eliminating patients' dependence on the Malta Community Chest Fund for cancer treatment",Alex Borg,Leader of the Opposition,PN,The Malta Independent,https://www.independent.com.mt/articles/2026-01-18/local-news/PN-government-will-add-cancer-medicines-to-formulary-Alex-Borg-pledges-6736286474,2026-01-18,2026-04-16 12:00 UTC,policy,checkable,4,PN policy document / government formulary data,FALSE,FALSE,FALSE,FALSE,FALSE,,approved_for_check
"Borg said Malta has one of the highest HIV rates in the EU","Malta has one of the highest HIV rates in the European Union",Alex Borg,Leader of the Opposition,PN,Newsbook,https://newsbook.com.mt/en/pn-prepared-for-election-whenever-abela-calls-it-borg-says/,2026-01-18,2026-04-16 12:00 UTC,comparative,checkable,4,ECDC EU HIV surveillance report,FALSE,FALSE,TRUE,FALSE,FALSE,,approved_for_check
"HIV medications have been allowed to expire in Malta","HIV medications including PrEP have been allowed to expire in Malta",Alex Borg,Leader of the Opposition,PN,Newsbook,https://newsbook.com.mt/en/pn-prepared-for-election-whenever-abela-calls-it-borg-says/,2026-01-18,2026-04-16 12:00 UTC,administrative,checkable,4,Pharmacy Authority / government procurement records,FALSE,FALSE,FALSE,FALSE,FALSE,,approved_for_check
"Almost 60 new cars are added to Malta's roads every day","Almost 60 new vehicles are registered on Malta's roads each day",Alex Borg,Leader of the Opposition,PN,The Malta Independent,https://www.independent.com.mt/articles/2026-01-11/local-news/We-must-be-a-government-in-waiting-Borg-says-as-he-maps-PN-s-road-for-2026-6736286269,2026-01-11,2026-04-16 12:00 UTC,statistical,checkable,5,Transport Malta vehicle registration data,TRUE,FALSE,FALSE,FALSE,FALSE,,approved_for_check
"The PN's licence surrender scheme reduces around 200 licences per year but 1000 are issued yearly","The government's €25,000 licence surrender scheme removes approximately 200 licences per year while approximately 1,000 new licences are issued annually",Alex Borg,Leader of the Opposition,PN,The Malta Independent,https://www.independent.com.mt/articles/2026-01-11/local-news/We-must-be-a-government-in-waiting-Borg-says-as-he-maps-PN-s-road-for-2026-6736286269,2026-01-11,2026-04-16 12:00 UTC,comparative,checkable,5,Transport Malta data,TRUE,FALSE,TRUE,FALSE,FALSE,,approved_for_check
"Average apartment prices in Malta are nearing €400000 with penthouses exceeding €500000","Average apartment prices in Malta are nearing €400,000 with penthouses exceeding €500,000",Alex Borg,Leader of the Opposition,PN,The Malta Independent,https://www.independent.com.mt/articles/2026-01-11/local-news/We-must-be-a-government-in-waiting-Borg-says-as-he-maps-PN-s-road-for-2026-6736286269,2026-01-11,2026-04-16 12:00 UTC,statistical,checkable,5,KPMG Malta property survey,TRUE,FALSE,FALSE,FALSE,FALSE,,approved_for_check
"PN's first crowdfunding campaign raised €15000 to finance Malta's first political podcast","The PN's first crowdfunding campaign raised €15,000 to finance Malta's first political podcast",Alex Borg,Leader of the Opposition,PN,The Malta Independent,https://www.independent.com.mt/articles/2026-01-11/local-news/We-must-be-a-government-in-waiting-Borg-says-as-he-maps-PN-s-road-for-2026-6736286269,2026-01-11,2026-04-16 12:00 UTC,administrative,checkable,4,PN crowdfunding campaign records,TRUE,FALSE,FALSE,FALSE,FALSE,,approved_for_check
"The constitutional deadline for appointing a new Auditor General passed in March 2026 without agreement","The constitutional deadline for appointing a new Auditor General passed in March 2026 without Abela contacting Borg",Alex Borg,Leader of the Opposition,PN,The Malta Independent,https://www.independent.com.mt/articles/2026-04-12/local-news/PN-is-ready-for-a-general-election-early-or-not-Alex-Borg-says-6736288730,2026-04-12,2026-04-16 12:00 UTC,legal,checkable,5,Malta Constitution / parliamentary records,FALSE,TRUE,FALSE,TRUE,FALSE,,approved_for_check
