claim_text,atomic_claim,speaker,role,party,source_name,source_url,publication_date,fetched_at,claim_type,verifiability_status,fact_checkability_score,evidence_target,numeric_flag,legal_flag,comparison_flag,timeframe_present,needs_human_review,rejection_reason,status
"A PN government would publish ministerial asset declarations every year including spouses' assets","A PN government would ensure ministerial asset declarations are published annually and would include the assets of ministers' spouses",Alex Borg,Leader of the Opposition,PN,The Malta Independent,https://www.independent.com.mt/articles/2026-03-22/local-news/PN-government-would-ensure-ministerial-assets-declarations-would-be-published-every-year-Borg-said-6736288207,2026-03-22,2026-04-16 12:00 UTC,policy,checkable,4,PN policy document,FALSE,FALSE,FALSE,FALSE,FALSE,,approved_for_check
"The government's proposed Code of Ethics changes would remove the requirement for MPs to list spouses' immovable property","The government's proposed Code of Ethics changes would remove the requirement for MPs to list immovable property belonging to their spouses where the community of acquests applies",Alex Borg,Leader of the Opposition,PN,The Malta Independent,https://www.independent.com.mt/articles/2026-03-22/local-news/PN-government-would-ensure-ministerial-assets-declarations-would-be-published-every-year-Borg-said-6736288207,2026-03-22,2026-04-16 12:00 UTC,legal,checkable,5,Proposed Code of Ethics legislation,FALSE,TRUE,FALSE,FALSE,FALSE,,approved_for_check
"Ministerial declarations of assets have not been published since 2023","Ministerial declarations of assets have not been published since 2023",Alex Borg,Leader of the Opposition,PN,The Malta Independent,https://www.independent.com.mt/articles/2026-03-22/local-news/PN-government-would-ensure-ministerial-assets-declarations-would-be-published-every-year-Borg-said-6736288207,2026-03-22,2026-04-16 12:00 UTC,administrative,checkable,5,Commissioner for Standards / parliamentary records,FALSE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"The PN's VAT cut proposal for restaurants would cost €80 million according to one Finance Ministry paper and €140 million according to another","The Finance Ministry published two conflicting cost estimates for the PN's restaurant VAT cut — €80 million in one document and €140 million in another",Alex Borg,Leader of the Opposition,PN,The Malta Independent,https://www.independent.com.mt/articles/2026-03-22/local-news/PN-government-would-ensure-ministerial-assets-declarations-would-be-published-every-year-Borg-said-6736288207,2026-03-22,2026-04-16 12:00 UTC,comparative,checkable,5,Finance Ministry documents,TRUE,FALSE,TRUE,FALSE,FALSE,,approved_for_check
"PN proposed that the incumbent Chief Justice should remain in office until a new appointment agreement is reached","PN proposed that the incumbent Chief Justice should remain in office until cross-party agreement on a successor is reached",Alex Borg,Leader of the Opposition,PN,The Malta Independent,https://www.independent.com.mt/articles/2026-02-28/local-news/PN-proposes-legislative-fix-to-break-Chief-Justice-stalemate-6736287612,2026-02-28,2026-04-16 12:00 UTC,legal,checkable,4,PN Facebook statement / parliamentary record,FALSE,TRUE,FALSE,FALSE,FALSE,,approved_for_check
"Judge Lawrence Mintoff stated in a sworn letter that he was summoned to Auberge de Castille by Abela on 11 February to discuss the Chief Justice appointment","Judge Lawrence Mintoff stated in a sworn letter that he was summoned to a meeting at Auberge de Castille by Prime Minister Abela on 11 February 2026 to discuss his potential appointment as Chief Justice",Alex Borg,Leader of the Opposition,PN,The Malta Independent,https://www.independent.com.mt/articles/2026-02-28/local-news/PN-proposes-legislative-fix-to-break-Chief-Justice-stalemate-6736287612,2026-02-28,2026-04-16 12:00 UTC,administrative,checkable,5,Judge Mintoff's sworn statement,FALSE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"The appointment of a Chief Justice requires a two-thirds parliamentary majority under Malta's constitution","The appointment of a Chief Justice requires a two-thirds parliamentary majority under Malta's Constitution",The Malta Independent,News outlet,Other,The Malta Independent,https://www.independent.com.mt/articles/2026-02-28/local-news/PN-proposes-legislative-fix-to-break-Chief-Justice-stalemate-6736287612,2026-02-28,2026-04-16 12:00 UTC,legal,checkable,5,Malta Constitution,FALSE,TRUE,FALSE,FALSE,FALSE,,approved_for_check
"ADPD said the government's pension tax exemption applies to pensions of up to €37000","The government introduced a pension tax exemption on pension income of up to €37,000",Sandra Gauci,ADPD Chairperson,Other,The Malta Independent,https://www.independent.com.mt/articles/2026-03-15/local-news/Tax-free-income-proposals-are-regressive-favour-the-rich-and-burden-future-generations-ADPD-6736288021,2026-03-15,2026-04-16 12:00 UTC,legal,checkable,5,Budget 2026 document / legal notice,TRUE,TRUE,FALSE,FALSE,FALSE,,approved_for_check
"Borg proposed that all pensioners should be exempt from tax on all income up to €37000","The PN proposes that all pensioners should be exempt from income tax on all income up to €37,000 regardless of source",Alex Borg,Leader of the Opposition,PN,The Malta Independent,https://www.independent.com.mt/articles/2026-03-15/local-news/Tax-free-income-proposals-are-regressive-favour-the-rich-and-burden-future-generations-ADPD-6736288021,2026-03-15,2026-04-16 12:00 UTC,policy,checkable,5,PN policy document,TRUE,FALSE,FALSE,FALSE,FALSE,,approved_for_check
"A MaltaToday survey showed 40.5% of respondents felt Budget 2026 left them in the same position as before","A MaltaToday survey found 40.5% of respondents felt Budget 2026 left them in the same financial position as before while 30% felt better off and 9.1% felt worse off",MaltaToday,News outlet,Other,MaltaToday,https://www.maltatoday.com.mt/news/national/138871/looking_back_2025__robert_abelas_rollercoaster_uturns_balancing_acts_and_hyperbole,2025-12-28,2026-04-16 12:00 UTC,statistical,checkable,4,MaltaToday survey data,TRUE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"Abela in January told MaltaToday he would not call an early election with the caveat of geopolitical disruptions","In January 2026 Abela told MaltaToday he would not call an early election with the caveat that geopolitical disruptions could make an early election in the national interest",Robert Abela,Prime Minister,PL,The Malta Independent,https://www.independent.com.mt/articles/2026-04-12/local-news/The-four-factors-which-may-be-pushing-Robert-Abela-into-calling-an-early-election-6736288690,2026-04-12,2026-04-16 12:00 UTC,administrative,checkable,4,MaltaToday interview January 2026,FALSE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"MaltaToday's four polls between November 2025 and March 2026 show Labour leading PN by around 8000 votes","Four consecutive MaltaToday polls from November 2025 to March 2026 show Labour leading PN by approximately 8,000 votes",MaltaToday,News outlet,Other,The Malta Independent,https://www.independent.com.mt/articles/2026-04-12/local-news/The-four-factors-which-may-be-pushing-Robert-Abela-into-calling-an-early-election-6736288690,2026-04-12,2026-04-16 12:00 UTC,statistical,checkable,4,MaltaToday polling data,TRUE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"Pollster Vince Marmara's February 2026 survey suggests Labour margin of victory of around 25000 votes","A February 2026 survey by pollster Vince Marmara suggests a Labour margin of victory of approximately 25,000 votes",The Malta Independent,News outlet,Other,The Malta Independent,https://www.independent.com.mt/articles/2026-04-12/local-news/The-four-factors-which-may-be-pushing-Robert-Abela-into-calling-an-early-election-6736288690,2026-04-12,2026-04-16 12:00 UTC,statistical,checkable,4,Marmara polling data,TRUE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"Under Maltese law a minimum of 33 days must separate the dissolution of parliament from polling day","Under Maltese law a minimum of 33 days must pass between the dissolution of parliament and polling day",The Malta Independent,News outlet,Other,The Malta Independent,https://www.independent.com.mt/articles/2026-04-09/local-news/Labour-Party-congress-points-to-looming-general-election-6736288644,2026-04-09,2026-04-16 12:00 UTC,legal,checkable,5,Malta Constitution / General Elections Act,FALSE,TRUE,FALSE,FALSE,FALSE,,approved_for_check
"Abela ruled out election dates of 30 May and 6 June because a key electoral official will be unavailable","Sources told MaltaToday that Abela ruled out election dates of 30 May and 6 June 2026 because a key official central to the electoral process will be unavailable on those dates",MaltaToday,News outlet,Other,MaltaToday,https://newsbook.com.mt/en/labour-congress-hints-at-snap-general-election/,2026-04-09,2026-04-16 12:00 UTC,administrative,checkable,4,MaltaToday sourced report,FALSE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"Abela recognised Palestine in September 2025","Malta formally recognised Palestinian statehood in September 2025",Robert Abela,Prime Minister,PL,MaltaToday,https://www.maltatoday.com.mt/news/national/138478/abela_tells_socialist_international_maltas_model_proves_progressive_economics_work,2025-11-29,2026-04-16 12:00 UTC,historical,checkable,5,Government official statement / UN records,FALSE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"In March 2025 Abela publicly suggested reforming the ECHR when Malta assumed the Council of Europe presidency","In March 2025 Abela publicly suggested reforming the European Convention on Human Rights when Malta assumed the Council of Europe presidency",Robert Abela,Prime Minister,PL,MaltaToday,https://www.maltatoday.com.mt/news/national/138871/looking_back_2025__robert_abelas_rollercoaster_uturns_balancing_acts_and_hyperbole,2025-12-28,2026-04-16 12:00 UTC,administrative,checkable,5,Council of Europe records / government statements,FALSE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"Malta spent €800 billion in an EU defence spending plan","Abela backed an €800 billion EU defence-spending plan to re-arm Europe",Robert Abela,Prime Minister,PL,MaltaToday,https://www.maltatoday.com.mt/news/national/138871/looking_back_2025__robert_abelas_rollercoaster_uturns_balancing_acts_and_hyperbole,2025-12-28,2026-04-16 12:00 UTC,policy,checkable,4,EU Council records / government statements,TRUE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"In 2025 Malta's budget delivered a 15% increase in student stipends a €500 baby bonus increase and expanded Children's Allowance","Budget 2026 delivered a 15% increase in student stipends a €500 increase in the baby bonus and an increase in Children's Allowance to €103 million",Clyde Caruana,Minister for Finance and Employment,PL,MaltaToday,https://www.maltatoday.com.mt/news/budget-2026/137835/budget_2026_shorts,2025-10-28,2026-04-16 12:00 UTC,statistical,checkable,5,Budget 2026 document,TRUE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"Borg won the PN leadership race over Delia by a margin of 44 votes","Alex Borg won the PN leadership election over Adrian Delia by a margin of 44 votes",The Malta Independent,News outlet,Other,The Malta Independent,https://www.independent.com.mt/articles/2026-04-12/local-news/PN-is-ready-for-a-general-election-early-or-not-Alex-Borg-says-6736288730,2026-04-12,2026-04-16 12:00 UTC,historical,checkable,5,PN Electoral Commission result,TRUE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"In February 2026 Borg stated he only agreed with imprisonment of women who get abortions on a case-by-case basis","In February 2026 Borg stated he only agreed with the imprisonment of women who obtain abortions on a case-by-case basis",Alex Borg,Leader of the Opposition,PN,Wikipedia,https://en.wikipedia.org/wiki/Alex_Borg_(politician),2026-02-01,2026-04-16 12:00 UTC,administrative,checkable,4,Lovin Malta interview February 2026,FALSE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"Abela said Malta manages a €23 billion economy","Abela stated Malta manages a €23 billion economy",Robert Abela,Prime Minister,PL,MaltaToday,https://www.maltatoday.com.mt/news/national/138345/prime_minister_effectively_rules_out_march_election,2025-11-23,2026-04-16 12:00 UTC,statistical,checkable,5,NSO GDP data,TRUE,FALSE,FALSE,FALSE,FALSE,,approved_for_check
"Malta's Vision 2050 line item in the OPM budget is €4.5 million","A line item of €4.5 million for Malta Vision 2050 has been inserted in the Office of the Prime Minister's budget",MaltaToday,News outlet,Other,MaltaToday,https://www.maltatoday.com.mt/news/national/137947/budget_2026_titbits_of_income_and_expenditure,2025-11-06,2026-04-16 12:00 UTC,statistical,checkable,5,Budget 2026 financial estimates,TRUE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"The Sant'Antnin plant in Wied il-Ghajn will be converted into a public green area of 23800 square meters at a cost of €37 million","The Sant'Antnin plant in Wied il-Għajn will be converted into a public green area of 23,800 square metres at a cost of €37 million",Clyde Caruana,Minister for Finance and Employment,PL,The Malta Independent,https://www.independent.com.mt/articles/2025-10-27/local-news/Budget-2026-Government-pledges-more-energy-water-and-mobility-projects-6736284320,2025-10-27,2026-04-16 12:00 UTC,administrative,checkable,5,Budget 2026 capital expenditure,TRUE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"Church school subvention will top €165.4 million in 2026","The government subvention for church schools will reach €165.4 million in 2026",MaltaToday,News outlet,Other,MaltaToday,https://www.maltatoday.com.mt/news/national/137947/budget_2026_titbits_of_income_and_expenditure,2025-11-06,2026-04-16 12:00 UTC,statistical,checkable,5,Budget 2026 financial estimates,TRUE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"University of Malta will receive €110 million in 2026 MCAST €71 million and Junior College €12 million","The University of Malta will receive €110 million in 2026, MCAST €71 million, and the Junior College €12 million",MaltaToday,News outlet,Other,MaltaToday,https://www.maltatoday.com.mt/news/national/137947/budget_2026_titbits_of_income_and_expenditure,2025-11-06,2026-04-16 12:00 UTC,statistical,checkable,5,Budget 2026 financial estimates,TRUE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"Ian Borg was elected Deputy Leader of the Labour Party in September 2024","Ian Borg was elected Deputy Leader of the Labour Party in September 2024",Wikipedia,Reference,PL,Wikipedia,https://en.wikipedia.org/wiki/Ian_Borg,2024-09-01,2026-04-16 12:00 UTC,historical,checkable,5,PN/PL official records,FALSE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"Borg proposed a PN government would conduct a labour market study to identify sectors requiring foreign workers","A PN government would conduct a labour market study to identify sectors requiring foreign workers and streamline incoming workers to necessary sectors",Alex Borg,Leader of the Opposition,PN,Newsbook,https://newsbook.com.mt/en/pn-prepared-for-election-whenever-abela-calls-it-borg-says/,2026-01-18,2026-04-16 12:00 UTC,policy,checkable,3,PN policy document,FALSE,FALSE,FALSE,FALSE,FALSE,,approved_for_check
"Borg proposed an equity-sharing model where government would co-invest in properties with buyers","The PN proposes an equity-sharing model where the government would co-invest in properties alongside first-time buyers",Alex Borg,Leader of the Opposition,PN,The Malta Independent,https://www.independent.com.mt/articles/2026-01-11/local-news/We-must-be-a-government-in-waiting-Borg-says-as-he-maps-PN-s-road-for-2026-6736286269,2026-01-11,2026-04-16 12:00 UTC,policy,checkable,4,PN policy document,FALSE,FALSE,FALSE,FALSE,FALSE,,approved_for_check
"Number of final deeds of sale on residential property was up 9.2% in March 2026","The number of final deeds of sale on residential property increased by 9.2% in March 2026",NSO Malta,Statistics office,Other,MaltaToday,https://www.maltatoday.com.mt/news,2026-04-13,2026-04-16 12:00 UTC,statistical,checkable,5,NSO Malta property statistics,TRUE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"Abela said government allocated the most spending towards the environment at €275 million more than any other ministry","The environment ministry's €275 million allocation in Budget 2026 is the largest single ministry allocation",Robert Abela,Prime Minister,PL,MaltaToday,https://www.maltatoday.com.mt/news/budget-2026/138285/abela_wants_malta_to_become_most_aifriendly_country_in_europe_,2025-11-19,2026-04-16 12:00 UTC,comparative,checkable,5,Budget 2026 document,TRUE,FALSE,TRUE,TRUE,FALSE,,approved_for_check
"Abela said in 2013 Malta's debt-to-GDP ratio stood at around 70%","In 2013 Malta's debt-to-GDP ratio stood at approximately 70%",Clyde Caruana,Minister for Finance and Employment,PL,The Malta Independent,https://www.independent.com.mt/articles/2025-10-27/local-news/AS-IT-HAPPENED-Clyde-Caruana-delivers-Budget-2026-in-Parliament-6736284311,2025-10-27,2026-04-16 12:00 UTC,comparative,checkable,5,Eurostat fiscal data 2013,TRUE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
The Tourism Accommodation Regulations 2026 introduce a ban on new hotel developments or extensions that exceed height limits set in planning policies,The Tourism Accommodation Regulations 2026 contain a ban on new hotel developments or extensions exceeding planning policy height limits,Ian Borg,Deputy Prime Minister,PL,Lovin Malta,https://lovinmalta.com/malta/malta-tourism-regulations/,2026-04-16,2026-04-16 13:57 UTC,legal,checkable,5,Tourism Accommodation Regulations 2026 official text,False,True,False,True,False,,approved_for_check,claim_divider
The Tourism Accommodation Regulations 2026 introduce stricter rules across the short-term rental sector,The Tourism Accommodation Regulations 2026 introduce stricter rules for short-term rentals,Ian Borg,Deputy Prime Minister,PL,Lovin Malta,https://lovinmalta.com/malta/malta-tourism-regulations/,2026-04-16,2026-04-16 13:57 UTC,legal,checkable,4,Tourism Accommodation Regulations 2026 official text,False,True,False,True,False,,approved_for_check,claim_divider
Malta ranks among the top three EU countries for the percentage of businesses affected by cyber incidents.,Malta ranks among the top three EU countries for percentage of businesses affected by cyber incidents,unknown,,unknown,Lovin Malta,https://lovinmalta.com/sponsored/gasanmamo-launches-comprehensive-cyber-insurance-for-maltese-businesses/,2026-04-16,2026-04-16 13:57 UTC,statistical,checkable,4,"EU cyber security statistics, EUROSTAT, or official cybersecurity reports",True,False,True,False,True,,approved_for_check,claim_divider
28.7% of Maltese enterprises reported a cyber incident in 2023,28.7% of Maltese enterprises reported a cyber incident in 2023,unknown,,unknown,Newsbook,https://newsbook.com.mt/en/gasanmamo-launches-comprehensive-cyber-insurance-for-maltese-businesses/,2026-04-16,2026-04-16 13:57 UTC,statistical,checkable,5,"NSO statistics, EU DESI reports, or official cybersecurity incident surveys for 2023",True,False,False,True,False,,approved_for_check,claim_divider
EU average of cyber incidents is 21.5% in 2023,EU average percentage of enterprises affected by cyber incidents was 21.5% in 2023,unknown,,unknown,Newsbook,https://newsbook.com.mt/en/gasanmamo-launches-comprehensive-cyber-insurance-for-maltese-businesses/,2026-04-16,2026-04-16 13:57 UTC,statistical,checkable,5,"EUROSTAT, EU cybersecurity reports, or official EU-wide incident statistics for 2023",True,False,False,True,False,,approved_for_check,claim_divider
New regulations introduce a ban on new hotel developments or extensions that exceed height limits set in planning policies,The Tourism Accommodation Regulations 2026 ban new hotel developments or extensions that exceed height limits set in planning policies,unknown,,unknown,Lovin Malta,https://lovinmalta.com/malta/malta-tourism-regulations/,2026-04-16,2026-04-16 14:00 UTC,legal,checkable,4,Tourism Accommodation Regulations 2026; Malta Planning Authority documents,False,True,False,True,False,,approved_for_check,claim_divider
Government has unveiled a €6.5m social housing package,Government unveiled a €6.5 million social housing package,unknown,,unknown,Newsbook,https://newsbook.com.mt/en/government-unveils-e6-5m-social-housing-package-amid-rising-property-prices/,2026-04-16,2026-04-16 14:00 UTC,policy,checkable,5,Government announcements; Budget documents; Ministry of Social Policy statements,True,False,False,True,False,,approved_for_check,claim_divider
Three new schemes aimed at making housing more affordable have been announced,Three new housing affordability schemes have been announced,unknown,,unknown,Newsbook,https://newsbook.com.mt/en/government-unveils-e6-5m-social-housing-package-amid-rising-property-prices/,2026-04-16,2026-04-16 14:00 UTC,administrative,checkable,4,Government press releases; Ministry of Social Policy announcements; official scheme documentation,True,False,False,True,False,,approved_for_check,claim_divider
New Rules Block Tall Hotels And Tighten Short-Let Laws,Deputy Prime Minister and Tourism Minister Ian Borg announced the Tourism Accommodation Regulations 2026,Ian Borg,Deputy Prime Minister,PL,Lovin Malta,https://lovinmalta.com/malta/malta-tourism-regulations/,2026-04-16,2026-04-16 14:18 UTC,administrative,checkable,5,"Official government gazette, ministerial announcement, Tourism Ministry records",False,True,False,True,False,,approved_for_check,collector
New Rules Block Tall Hotels And Tighten Short-Let Laws,The Tourism Accommodation Regulations 2026 introduce a ban on new hotel developments or extensions that exceed height limits set in planning policies,Ian Borg,Deputy Prime Minister,PL,Lovin Malta,https://lovinmalta.com/malta/malta-tourism-regulations/,2026-04-16,2026-04-16 14:18 UTC,legal,checkable,5,"Tourism Accommodation Regulations 2026 document, planning policies",False,True,False,True,False,,approved_for_check,collector
Government unveils €6.5m social housing package amid rising property prices,Government announced a €6.5 million social housing package,Government,,unknown,Newsbook,https://newsbook.com.mt/en/government-unveils-e6-5m-social-housing-package-amid-rising-property-prices/,2026-04-16,2026-04-16 15:19 UTC,administrative,checkable,5,"Government press release, Budget documents, Ministry of Housing announcements",True,False,False,False,False,,approved_for_check,collector
Government unveils €6.5m social housing package amid rising property prices,Three new social housing schemes were announced by the government,Government,,unknown,Newsbook,https://newsbook.com.mt/en/government-unveils-e6-5m-social-housing-package-amid-rising-property-prices/,2026-04-16,2026-04-16 15:19 UTC,administrative,checkable,4,"Government press release, Ministry of Housing announcements",True,False,False,False,False,,approved_for_check,collector
Government unveils €6.5m social housing package amid rising property prices,Three new social housing schemes were announced,unknown,,PL,Newsbook,https://newsbook.com.mt/en/government-unveils-e6-5m-social-housing-package-amid-rising-property-prices/,2026-04-16,2026-04-16 15:24 UTC,administrative,checkable,4,"Government press release, Ministry of Social Policy announcement",True,False,False,False,False,,approved_for_check,collector
